host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.00,48.88569,2.34514,Paris,75018,Ile-de-France,4,Entire home/apt,2,1,2,100 ,0,300,7,150,195
100%,,3.00,48.86485,2.36667,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,60 ,,200,1,30,35
100%,,4.00,48.87283,2.29638,Paris,75008,Ile-de-France,5,Entire home/apt,2,2,5,449 ,120,1000,4,365,16
100%,,1.00,48.84473,2.35309,Paris,75005,Ile-de-France,2,Entire home/apt,1,1,1,120 ,40,500,3,30,140
100%,,2.00,48.84023,2.34573,Paris,75005,Ile-de-France,4,Entire home/apt,1,1,2,150 ,50,400,3,365,15
100%,,2.00,48.87961,2.29445,Paris,75017,Île-de-France,3,Entire home/apt,1,1,1,60 ,0,500,5,30,53
100%,,1.00,48.87249,2.39491,Paris,75020,Île-de-France,2,Entire home/apt,1,1,1,45 ,0,100,3,100,4
100%,,1.00,48.84953,2.29022,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,95 ,30,800,2,730,41
40%,,1.00,48.89269,2.36512,Paris,75018,Ile-de-France,7,Entire home/apt,3,1,3,130 ,50,450,3,730,113
92%,,2.00,48.89509,2.32202,Paris,75017,Ile-de-France,3,Entire home/apt,1,1,2,49 ,40,200,6,365,283
100%,,1.00,48.8611,2.38275,Paris,75011,Ile-de-France,2,Entire home/apt,1,1,1,50 ,,500,3,90,5
100%,,1.00,48.83063,2.35377,Paris,75013,Ile-de-France,2,Entire home/apt,1,1,1,69 ,40,0,3,30,299
100%,,1.00,48.86806,2.34744,Paris,75002,Île-de-France,2,Entire home/apt,1,1,1,109 ,50,350,1,1125,49
100%,,1.00,48.86541,2.36491,Paris,75011,Île-de-France,3,Entire home/apt,1,1,2,110 ,30,300,5,120,182
100%,,1.00,48.85344,2.38713,Paris,75011,Ile-de-France,2,Entire home/apt,1,1,1,65 ,35,250,6,21,63
90%,,2.00,48.88369,2.36566,Paris,75010,Île-de-France,4,Entire home/apt,2,1,3,150 ,30,150,3,40,15
100%,,1.00,48.8551,2.36271,Paris,75004,,3,Entire home/apt,1,1,1,88 ,35,,1,1125,153
